,movie_id,movie_title,genres,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,n_ratings_test,average_ratings_test,n_ratings_train,average_ratings_train,ordered_id
14,15,Cutthroat Island (1995),Action|Adventure|Romance,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,174,2.704022988505747,1640,2.71859756097561,398
15,16,Casino (1995),Crime|Drama,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,958,3.7176409185803756,8663,3.753549578667898,785
16,17,Sense and Sensibility (1995),Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1189,3.938603868797309,11275,3.9839467849223946,631
17,18,Four Rooms (1995),Comedy|Drama|Thriller,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,280,3.3160714285714286,2616,3.3293195718654434,166
18,19,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,2.5593934288121316,10386,2.580348546119777,666
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,249,2.8634538152610443,2214,2.8651761517615175,460
20,21,Get Shorty (1995),Action|Comedy|Drama,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1437,3.591510090466249,13365,3.5974934530490086,528
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,665,3.342857142857143,5557,3.329764261292064,603
22,23,Assassins (1995),Action|Crime|Thriller,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,252,3.138888888888889,2285,3.150984682713348,2894
23,24,Powder (1995),Drama|Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,457,3.237417943107221,4195,3.232777115613826,242
24,25,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1282,3.712948517940718,11908,3.682314410480349,831
25,26,Othello (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,178,3.587078651685393,1563,3.6740243122200895,2483
26,27,Now and Then (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98,3.4642857142857144,871,3.3708381171067736,1056
27,28,Persuasion (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,181,4.140883977900552,1647,4.068913175470552,174
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,453,3.9613686534216335,3971,3.9700327373457567,1243
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,104,3.8221153846153846,746,3.626675603217158,5555
30,31,Dangerous Minds (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,489,3.3006134969325154,4582,3.2705150589262333,368
31,32,12 Monkeys (Twelve Monkeys) (1995),Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2428,3.8842668863261944,21969,3.8740497974418497,234
32,33,Wings of Courage (1995),Adventure|IMAX|Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3.2142857142857144,37,3.0405405405405403,8176
33,34,Babe (1995),Children|Comedy|Drama|Fantasy,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1865,3.689276139410188,17035,3.707103023187555,331
34,35,Carrington (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,80,3.51875,886,3.474040632054176,829
35,36,Dead Man Walking (1995),Crime|Drama,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1218,3.9642857142857144,11471,3.9569784674396304,767
36,37,Across the Sea of Time (1995),Documentary|IMAX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2.1666666666666665,49,2.9693877551020407,7027
37,38,It Takes Two (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3.1029411764705883,279,2.795698924731183,3219
38,39,Clueless (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1524,3.4419291338582676,13980,3.4262875536480686,314
39,40,"Cry, the Beloved Country (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,3.6097560975609757,525,3.618095238095238,4540
40,41,Richard III (1995),Drama|War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,273,3.8864468864468864,2708,3.863737075332349,783
41,42,Dead Presidents (1995),Action|Crime|Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,173,3.014450867052023,1374,3.0425764192139737,2579
42,43,Restoration (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156,3.4583333333333335,1474,3.460990502035278,394
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,601,2.682196339434276,5351,2.6903382545318633,212
44,45,To Die For (1995),Comedy|Drama|Thriller,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,532,3.3778195488721803,5120,3.3732421875,919
45,46,How to Make an American Quilt (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,215,3.281395348837209,1837,3.2634730538922154,2339
46,47,Seven (a.k.a. Se7en) (1995),Crime|Horror|Mystery|Thriller,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2130,4.032394366197183,20392,4.031164182032169,615
47,48,Pocahontas (1995),Animation|Children|Musical|Romance,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,755,2.8920529801324504,6558,2.9123208295211955,995
48,49,When Night Is Falling (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17,3.5,124,3.689516129032258,4035
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2454,4.365933170334149,21583,4.367279803549089,11
50,51,Guardian Angel (1994),Action|Drama|Thriller,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1.75,13,2.8461538461538463,7391
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,598,3.547658862876254,5289,3.544053696350917,575
52,53,Lamerica (1994),Adventure|Drama,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,3.611111111111111,82,3.7134146341463414,6967
53,54,"Big Green, The (1995)",Children|Comedy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2.526315789473684,509,2.9096267190569747,4847
54,55,Georgia (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,3.227272727272727,572,3.2211538461538463,2916
55,56,Kids of the Round Table (1995),Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.5,43,1.8837209302325582,7625
56,57,Home for the Holidays (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151,3.301324503311258,1408,3.3284801136363638,1587
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,655,4.038167938931298,6296,4.008497458703939,458
58,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,3.9,120,3.5416666666666665,7797
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,314,3.1863057324840764,3030,3.1542904290429044,750
60,61,Eye for an Eye (1996),Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,153,3.4281045751633985,1323,3.3080120937263793,1406
61,62,Mr. Holland's Opus (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1189,3.793103448275862,10765,3.737296795169531,850
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,130,2.9384615384615387,1213,3.0663643858202803,705
63,64,Two if by Sea (1996),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126,2.8174603174603177,1209,2.8407775020678248,2056
64,65,Bio-Dome (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,265,2.4169811320754717,2347,2.4086067319982956,917
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,160,2.14375,1358,2.1310751104565537,1314
66,67,Two Bits (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3.35,108,3.3981481481481484,5469
67,68,French Twist (Gazon maudit) (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,89,3.4719101123595504,709,3.4534555712270802,402
68,69,Friday (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,262,3.4923664122137406,2125,3.5950588235294116,2178
69,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,695,3.2906474820143883,6424,3.2459526774595266,1675
70,71,Fair Game (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2.382716049382716,734,2.337874659400545,2278
71,72,Kicking and Screaming (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,70,3.4214285714285713,642,3.528816199376947,3958
72,73,"Misérables, Les (1995)",Drama|War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,171,3.9239766081871346,1461,3.8121149897330597,1811
73,74,Bed of Roses (1996),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,216,3.2893518518518516,1976,3.313259109311741,2307
74,75,Big Bully (1996),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,29,2.2241379310344827,326,2.5475460122699385,2805
75,76,Screamers (1995),Action|Sci-Fi|Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,199,2.907035175879397,1869,3.0189941144997325,1513
76,77,Nico Icon (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,3.5833333333333335,131,3.3702290076335877,2382
77,78,"Crossing Guard, The (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,3.2,717,3.1569037656903767,900
78,79,"Juror, The (1996)",Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,326,3.142638036809816,3159,3.119025007913897,193
79,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,3.608695652173913,345,3.7405797101449276,2172
80,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,221,3.3009049773755654,1819,3.2814733369983506,481
81,82,Antonia's Line (Antonia) (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,156,4.102564102564102,1429,4.020293911826452,991
82,83,Once Upon a Time... When We Were Colored (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,3.6875,358,3.6564245810055866,2292
83,84,Last Summer in the Hamptons (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,3.111111111111111,86,3.4186046511627906,8365
84,85,Angels and Insects (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,170,3.6735294117647057,1562,3.483674775928297,1374
85,86,White Squall (1996),Adventure|Drama,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,267,3.4269662921348316,2465,3.4868154158215012,769
86,87,Dunston Checks In (1996),Children|Comedy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2.1363636363636362,533,2.4296435272045027,3643
87,88,Black Sheep (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,262,3.0610687022900764,2418,3.0949131513647643,1281
88,89,Nick of Time (1995),Action|Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,199,3.193467336683417,1779,3.1433389544688026,668
89,90,"Journey of August King, The (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,3.0833333333333335,128,3.2578125,7909
90,92,Mary Reilly (1996),Drama|Horror|Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,155,2.958064516129032,1270,2.868503937007874,2127
91,93,Vampire in Brooklyn (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,121,2.549586776859504,1044,2.560344827586207,826
92,94,Beautiful Girls (1996),Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,246,3.518292682926829,2241,3.5211958946898707,2511
93,95,Broken Arrow (1996),Action|Adventure|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1437,3.1116910229645094,12011,3.117475647323287,852
94,96,In the Bleak Midwinter (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,42,3.892857142857143,264,3.6363636363636362,4730
95,97,"Hate (Haine, La) (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,4.067901234567901,814,3.939189189189189,1319
96,98,Shopping (1994),Action|Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2.3333333333333335,46,2.5434782608695654,9068
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,2.918181818181818,414,3.1026570048309177,6636
98,100,City Hall (1996),Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,248,3.2399193548387095,2392,3.2213628762541804,498
99,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,203,3.687192118226601,2023,3.823282254078102,799
100,102,Mr. Wrong (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2.5737704918032787,1141,2.4215600350569675,2875
101,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,56,3.2232142857142856,666,3.2935435435435436,1961
102,104,Happy Gilmore (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,3.4391509433962266,9096,3.4283201407211963,431
103,105,"Bridges of Madison County, The (1995)",Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,585,3.2717948717948717,5091,3.328913769396975,266
104,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3.4285714285714284,70,3.5,7103
105,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,362,3.2596685082872927,3032,3.1944261213720315,529
106,108,Catwalk (1996),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,3.4545454545454546,74,3.0067567567567566,6561
107,109,Headless Body in Topless Bar (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,1.5,10514
108,110,Braveheart (1995),Action|Drama|War,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2891,4.094603943272224,26263,4.081045577428322,34
109,111,Taxi Driver (1976),Crime|Drama|Thriller,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1236,4.130663430420712,11629,4.13225556797661,743
110,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,789,3.403041825095057,6798,3.408355398646661,687
111,113,Before and After (1996),Drama|Mystery,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,66,3.3636363636363638,671,3.089418777943368,4816
112,114,Margaret's Museum (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,3.611111111111111,158,3.6234177215189876,6916
113,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.5,20,3.675,6792
114,116,Anne Frank Remembered (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,3.8174603174603177,525,3.922857142857143,3057
115,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70,3.585714285714286,763,3.580602883355177,3606
116,118,If Lucy Fell (1996),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,78,2.8141025641025643,680,3.0426470588235293,2509
117,119,"Steal Big, Steal Little (1995)",Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2.9166666666666665,146,2.8595890410958904,3348
118,120,Race the Sun (1996),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2.4285714285714284,77,2.8701298701298703,8518
119,121,"Boys of St. Vincent, The (1992)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,3.7288135593220337,507,3.739644970414201,6323
120,122,Boomerang (1992),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,226,2.831858407079646,2186,2.8643641354071363,707
121,123,Chungking Express (Chóngqìng Senlín) (1994),Drama|Mystery|Romance,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,118,3.961864406779661,1110,3.988288288288288,3295
122,124,"Star Maker, The (L'Uomo delle stelle) (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,4.142857142857143,186,3.5483870967741935,5588
123,125,Flirting With Disaster (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215,3.7906976744186047,2005,3.7581047381546133,2115
124,126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89,2.393258426966292,723,2.2420470262793915,4432
125,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3.8,23,3.239130434782609,5441
126,128,Jupiter's Wife (1994),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3.875,49,3.4489795918367347,4998
127,129,Pie in the Sky (1996),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,21,3.380952380952381,102,3.200980392156863,1390
128,130,Angela (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4.75,19,2.6315789473684212,5421
129,131,Frankie Starlight (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,3.210526315789474,123,3.3536585365853657,5227
130,132,Jade (1995),Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129,2.74031007751938,1209,2.758478081058726,2572
131,133,Nueba Yol (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,15,2.8666666666666667,9770
132,134,Sonic Outlaws (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0,21,3.6666666666666665,9161
133,135,Down Periscope (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,371,3.013477088948787,3136,3.003826530612245,507
134,136,From the Journals of Jean Seberg (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.25,64,3.40625,5088
135,137,Man of the Year (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,3.1875,123,3.345528455284553,6630
136,138,"Neon Bible, The (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3.125,85,3.2294117647058824,6014
137,139,Target (1995),Action|Drama,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,31,3.274193548387097,9910
138,140,Up Close and Personal (1996),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,332,3.2876506024096384,2870,3.297560975609756,1960
139,141,"Birdcage, The (1996)",Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,3.484637893196781,12060,3.525787728026534,802
140,142,Shadows (Cienie) (1988),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,27,2.925925925925926,9325
141,143,Gospa (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3.0,10,2.2,8839
142,144,"Brothers McMullen, The (1995)",Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,272,3.542279411764706,2616,3.496941896024465,1256
143,145,Bad Boys (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,3.302907915993538,5943,3.2562678781760055,320
144,146,"Amazing Panda Adventure, The (1995)",Adventure|Children,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2.6805555555555554,315,2.8412698412698414,4977
145,147,"Basketball Diaries, The (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,189,3.4444444444444446,2012,3.5646123260437377,1122
146,148,"Awfully Big Adventure, An (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,3.3333333333333335,210,2.8214285714285716,1663
147,149,Amateur (1994),Crime|Drama|Thriller,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,72,3.638888888888889,629,3.6748807631160574,3214
148,150,Apollo 13 (1995),Adventure|Drama,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2682,3.8683818046234153,24353,3.8894386728534474,937
149,151,Rob Roy (1995),Action|Drama|Romance|War,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,779,3.509627727856226,7178,3.5367790470883254,264
150,152,"Addiction, The (1995)",Drama|Horror,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,47,3.393617021276596,359,3.097493036211699,5251
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1898,2.933350895679663,17428,2.914275877897636,225
152,154,Belle de jour (1967),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202,3.6732673267326734,1557,3.804752729608221,1490
153,155,Beyond Rangoon (1995),Adventure|Drama|War,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,82,3.475609756097561,778,3.4061696658097684,1050
154,156,Blue in the Face (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100,3.63,940,3.495212765957447,3997
155,157,Canadian Bacon (1995),Comedy|War,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,139,2.802158273381295,1436,2.7903899721448466,238
156,158,Casper (1995),Adventure|Children,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,3.0063291139240507,6334,2.951057783391222,1740
157,159,Clockers (1995),Crime|Drama|Mystery,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,135,3.462962962962963,1371,3.4018964259664477,1395
158,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,905,2.6591160220994476,8301,2.605228285748705,18
159,161,Crimson Tide (1995),Drama|Thriller|War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1429,3.7463261021693492,13122,3.748856881572931,171
